Ratio,T_out,D,Width,SH,SF,Status
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
32,118.4,30,55,51.45,0.13,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
34,125.8,30,55,48.42,0.12,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
36,133.2,30,55,45.73,0.11,MARGINAL
40,148.0,30,55,41.16,0.10,MARGINAL
40,148.0,30,55,41.16,0.10,MARGINAL
